Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),More than 300 feet (over 90 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new gate,Composite materials,As advised by a qualified professional,N/A  No gates required,One gate,Yes - I would like the professional to supply the materials,Fixture & fitting,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I might hire someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,Four or more gates,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Install new fence and 2 gates,Vinyl (PVC),6 feet (1.8 meters),Unsure,Two gates,No - I will be providing the materials myself,Application of sealant,As soon as possible,I'm certain I'll be hiring someone,To measure site and fit fence and gates
Detached - semi-detached or terraced house,Repair of the existing fence,Composite materials,6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Post need replaced
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,As soon as possible,I'm leaning towards hiring someone,How much
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,2 fence panels and posts needed
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),More than 300 feet (over 90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),30ft,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,Two gates,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm certain I'll be hiring someone,"14 fence panels need replacing and 2 gates. I also want additional trellis added but the posts don't go as far up, so the trellis will need to be secured with wooden post."
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,New fence to be installed
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,4 fence panels and 5 posts need replacing after last years storms. I have young children and a dog so need a secure garden.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Very small Garden
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Fence and/or gate painting,Within the next few months,I'm still researching and exploring options,I need quote for concrete posts and concrete bottom
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,a small fence and gate in back garden to divide garden for dogs at bottom and the kids play area at top
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,5 posts Gravel board and concrete posts  Removal of old and new one installed
Single-story home (Bungalow),Replacement of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,Side gate with double gates
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,"The new fence that should be done its with length 11 panels ,each panel 6x5 with wooden bims between them."
Detached - semi-detached or terraced house,Replacement of the existing fence,Composite materials,6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,I would like some quotes for Composite materials fencing for back garden
Detached - semi-detached or terraced house,Installation of a new gate,As advised by a qualified professional,As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,Within the next few weeks,I'm still researching and exploring options,Fencing quotes
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I might hire someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Apartment or flat,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,Replace existing fence
Detached - semi-detached or terraced house,Replacement of the existing fence,As advised by a qualified professional,As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,Previous fence wobbles in wind.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),More than 300 feet (over 90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,Supply and fit a 4 foot high
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,Wood staining,As soon as possible,I'm certain I'll be hiring someone,existing wooden fence needs replacing completely
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Fence removal and replacement.
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,"Long garden, need the sides and end fencing. The front is fine as its a walk way for the Apartment or flat below to get to their garden. I need the fence high enough my dog can't leap over it."
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,We need one (1) fence post to be replaced in a tricky location.
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,It is a fence needed that's in a block of 4 gardens  It's the back right garden
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,9 panels lapboard. 3 panels use existing wood poles. Supply kickboards and posts. Remove existing fences and dispose
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I might hire someone,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,None.
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,Within the next few weeks,I'm still researching and exploring options,
Single-story home (Bungalow),Installation of a new fence,As advised by a qualified professional,6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,ASAP please
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,As advised by a qualified professional,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,"I need fence panels,gravel boards & concrete posts"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Take out existing hedge,I'm flexible,I'm ready to hire immediately,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,Fence and/or gate painting,As soon as possible,Just to how much it will cost pleasd,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,We have recently moved in to the property and are looking to get a rough idea of what it would cost to replace the fence. I would estimate that it is 40-50 long?
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Back garden gate . Wood feather gate.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Wood staining,Within the next few weeks,I'm ready to hire immediately,Picket type fencing
Detached - semi-detached or terraced house,Installation of a new fence,Electric,8 feet (2.4 meters),More than 300 feet (over 90 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,"At present I have slide in posts so I could use off the shelf panels, however some don't fit well so panels would need to be manufactured (maybe on site)"
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,2 - 3 boundary fences need replacing small garden,No gates required,Yes - I would like the professional to supply the materials,Application of sealant,Within the next few months,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm ready to hire immediately,Replace old fence panels
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,6 feet (1.8 meters),100-200 feet (30-60 meters),Two gates,No - I will be providing the materials myself,Application of sealant,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm leaning towards hiring someone,"We think the fence panels are re-usable, just need new support posts installing and panels re-attaching and a new small side gate"
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Looking for either composit or aluminium
Detached - semi-detached or terraced house,Installation of a new fence,Not sure yet,6 feet (1.8 meters),50-100 feet (15-30 meters),Two gates,No - I will be providing the materials myself,Application of sealant,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,"My garden is 3 foot higher than Detached - semi-detached or terraced house behind me and there is drop between the houses of about 3 foot, so 3 foot of the fence will be unseen from my garden but because there is a gap the soil is falling away as it’s just the boundary barbed wire at present"
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),One tall gate and another shorter,"One to be supplied, one measured and ordered then installed",Unsure,I'm flexible,I'm leaning towards hiring someone,"Looking to get some help to measure, order and install a tall gate for between Detached - semi-detached or terraced house and garden wall. Also looking to install a lower gate and fencing at back of Detached - semi-detached or terraced house to enclose."
Single-story home (Bungalow),Replace rotted posts,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,No - I will be providing the materials myself,Just posts around 4,I'm flexible,I'm certain I'll be hiring someone,It’s just wooden posts that need replacing
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,I need new 5ft fences put up in my mums garden with 2 new gates
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,Fence and/or gate painting,I'm flexible,I'm still researching and exploring options,Need the old fence taken out
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Awaiting permission from landlord.   Wanting picket fence and gate.
Detached - semi-detached or terraced house,Installation of a new fence,Steel,6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,No - I will be providing the materials myself,No additional services required,Within the next few months,I'm still researching and exploring options,NANANA
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm ready to hire immediately,Need 7 panels and maybe 5 concrete post fitted
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,"Application of sealant, Wood staining",As soon as possible,I'm ready to hire immediately,Access easier from back of Single-story home (Bungalow)
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,Would like a quote fir new fence
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,Overgrown bushes on fence panels
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I might hire someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,Thanks
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,I need 2 new fence panels and 2 posts
Detached - semi-detached or terraced house,Installation of a new gate,Wrought iron,6 feet (1.8 meters),100-200 feet (30-60 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,do you supply the automation for gates? Do you entire automatic fitting
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Fencing
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,I want a new fencing
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Single-story home (Bungalow),Installation of a new gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,No - I will be providing the materials myself,No additional services required,I'm flexible,I'm leaning towards hiring someone,Replacing existing fence and enclosing the back garden with a fence or gate
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,Looking for 6 ft fence full length of garden with capping rails
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,Need to erect fencing between detached Single-story home (Bungalow)
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,To replace existing fence with concrete posts and wood fence panels for approximately 30 ft
Detached - semi-detached or terraced house,Dog proof back garden with wire fence,As advised by a qualified professional,4 feet (1.2 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Need back garden dog proofing with a wire fence as have bush i back bushes running the the entire length
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters),No gates required,No - I will be providing the materials myself,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm ready to hire immediately,Fence 40 metres long 6 ft high
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,existing boundary between Detached - semi-detached or terraced house and school grounds consists of old hedge
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),attach 6 ft gate and maybe secure 3 fence panels two new posts maybe-storm damage,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Two posts rotted fence nearly down back garden. Possible side fence to be secured. Side gate has blown down we have new hinges and a latch
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),15-20ft,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,Only need 3 fences to be replaced. Only wood fences. No Fence and/or gate painting.
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,Within the next few weeks,I'm still researching and exploring options,"Need fence, concrete posts, concrete gravel boards and gate putting up"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),2panels,No gates required,Yes - I would like the professional to supply the materials,Ground cemented,Within the next few months,I'm certain I'll be hiring someone,"Fence on left of garden old one taken down , one panel has to go behind a small shed"
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I might hire someone,40 Ft woode fencing
